iter	Passed	Remaining
0	1	127
1	2	119
2	3	110
3	4	104
4	5	104
5	6	97
6	6	92
7	7	87
8	8	84
9	9	81
10	9	79
11	10	79
12	11	77
13	12	76
14	13	75
15	14	73
16	14	72
17	15	70
18	16	68
19	16	67
20	17	65
21	18	64
22	18	62
23	19	61
24	20	60
25	20	59
26	21	57
27	22	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	26	50
34	26	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	30	44
41	31	43
42	31	42
43	32	41
44	33	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	41	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	52	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
